data_year,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3,checked_cars,driven_avg,driven_med
2019,2008,Kia,RIO,24.66,Etuakselisto,Käyttöjarru,Käyttöjarrun dynamometritesti,146,125000,120000
2019,2008,Kia,SORENTO,35.12,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru,185,252000,252000
2019,2008,Kia,SPORTAGE,24.23,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,359,179000,172000
2019,2008,Lada,4X4,25.45,Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD),Etuakselisto,110,66000,63000
2019,2008,Land Rover,FREELANDER,23.3,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,,206,242000,239000
2019,2008,Lexus,RX400H,11.9,,,,126,196000,198000
2019,2008,Mazda,2,29.4,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,697,131000,122000
2019,2008,Mazda,3,33.44,Etuakselisto,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),673,159000,155000
2019,2008,Mazda,5,48.34,Etuakselisto,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,393,213000,208000
2019,2008,Mazda,6,20.69,Käyttöjarru,Käyttöjarrun dynamometritesti,Etuakselisto,2989,199000,192000
2019,2008,Mazda,CX-7,26.36,,,,110,182000,184000
2019,2008,Mercedes-Benz,A,18.31,Käyttöjarru,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,486,142000,132000
2019,2008,Mercedes-Benz,B,26.58,Jousitus ja iskunvaimennus,Etuakselisto,Seisontajarrun dynamometritesti,459,199000,184000
2019,2008,Mercedes-Benz,C,28.88,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru,5001,242000,236000
2019,2008,Mercedes-Benz,CLS,28.38,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,141,208000,207000
2019,2008,Mercedes-Benz,E,32.66,Etuakselisto,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,1611,320000,304000
2019,2008,Mercedes-Benz,GLK,19.16,,,,167,207000,204000
2019,2008,Mercedes-Benz,M,22.14,Käyttöjarru,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,411,241000,235000
2019,2008,Mercedes-Benz,R,25.28,Käyttöjarru,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,178,255000,247000
2019,2008,Mercedes-Benz,S,21.47,Etuakselisto,,,163,214000,209000
2019,2008,Mercedes-Benz,SPRINTER,28.56,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,,126,450000,460000
2019,2008,Mercedes-Benz,VITO,25.78,Seisontajarrun dynamometritesti,Etuakselisto,Jousitus ja iskunvaimennus,128,302000,261000
2019,2008,Mini,COOPER,18.12,Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus,Käyttöjarru,436,150000,144000
2019,2008,Mitsubishi,COLT,9.07,Seisontajarrun dynamometritesti,,,364,120000,116000
2019,2008,Mitsubishi,GRANDIS,34.97,Ohjausnivelet ja -tangot,,,123,264000,255000
2019,2008,Mitsubishi,LANCER,19.61,Ohjausnivelet ja -tangot,Etuakselisto,Käyttöjarru,622,166000,164000
2019,2008,Mitsubishi,OUTLANDER,35.28,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,479,241000,238000
2019,2008,Nissan,MICRA,14.98,Etuakselisto,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,554,119000,111000
2019,2008,Nissan,NOTE,25.77,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,846,153000,150000
2019,2008,Nissan,PRIMERA,28.44,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,218,186000,171000
2019,2008,Nissan,QASHQAI,38.72,Etuakselisto,Ohjausnivelet ja -tangot,Käyttöjarru,2655,206000,198000
2019,2008,Nissan,TIIDA,26.11,Etuakselisto,Käyttöjarru,Seisontajarrun dynamometritesti,1214,139000,132000
2019,2008,Nissan,X-TRAIL,34.28,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,598,226000,220000
2019,2008,Opel,ASTRA,26.7,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Taka-akselisto,2112,177000,169000
2019,2008,Opel,CORSA,24.62,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot,,613,142000,131000
2019,2008,Opel,MERIVA,21.98,Ohjausnivelet ja -tangot,,,182,144000,140000
2019,2008,Opel,VECTRA,32.94,Jousitus ja iskunvaimennus,Etuakselisto,,829,241000,236000
