Käyttöönottovuosi,Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2012,Peugeot,508,4.4,Sisäinen valvontajärjestelmä (OBD),Valmistajan kilpi,Bensiinimoottorin pakokaasumittaus
2012,Mercedes-Benz,A,4.6,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
2012,Chevrolet,CRUZE,4.8,Valmistajan kilpi,Käyttöjarrun dynamometritesti,Käyttöjarru
2012,Chevrolet,ORLANDO,4.8,,,
2012,Citroen,C4,4.9,Valmistajan kilpi,Sisäinen valvontajärjestelmä (OBD),Rekisterimerkinnät
2012,Kia,SORENTO,5.2,,,
2012,Seat,ALHAMBRA,5.4,,,
2012,Peugeot,308,5.4,Valmistajan kilpi,Etuakselisto,Rekisterimerkinnät
2012,Hyundai,IX20,5.5,,,
2012,Ford,S-MAX,5.8,,,
2012,Volvo,V60,6.1,Etuakselisto,Renkaat ja vanteet,Taka-akselisto
2012,Fiat,PUNTO,6.3,,,
2012,Volvo,S80,6.3,,,
2012,Land Rover,RANGE ROVER,6.4,,,
2012,Volkswagen,CADDY,6.7,Renkaat ja vanteet,Käyttöjarru,Jousitus ja iskunvaimennus
2012,Peugeot,5008,6.7,,,
2012,Peugeot,3008,6.8,Valmistajan kilpi,Etuakselisto,Renkaat ja vanteet
2012,Opel,MERIVA,7.0,,,
2012,Volvo,S60,7.3,Etuakselisto,Renkaat ja vanteet,Taka-akselisto
2012,Kia,SPORTAGE,7.5,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,Käyttöjarru
2012,Hyundai,IX35,7.6,Ohjausnivelet ja -tangot,Käyttöjarru,Valmistajan kilpi
2012,Ford,TRANSIT,7.7,,,
2012,Mercedes-Benz,E,7.8,Renkaat ja vanteet,Seisontajarrun dynamometritesti,Käyttöjarru
2012,Citroen,C4 PICASSO,8.1,,,
2012,Hyundai,I40,8.2,Etuakselisto,Ohjausnivelet ja -tangot,Taka-akselisto
2012,Volvo,V70,8.5,Etuakselisto,Renkaat ja vanteet,Käyttöjarru
2012,Renault,CLIO,8.6,Etuakselisto,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus
2012,Jeep,COMPASS,8.8,Taka-akselisto,Valmistajan kilpi,Jarruvalo
2012,Volkswagen,CARAVELLE,9.4,,,
2012,Peugeot,206,11.7,Ohjausnivelet ja -tangot,Käyttöjarrun dynamometritesti,Renkaat ja vanteet
2012,Citroen,C5,11.9,Ohjausnivelet ja -tangot,Etuakselisto,Renkaat ja vanteet
2012,Fiat,500,12.3,Etuakselisto,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2012,Volkswagen,KOMBI,20.1,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,Käyttöjarru
2010,* Kaikki yhteensä *,,6.7,,,
2010,Audi,Q5,0.2,,,
2010,Audi,A4,1.7,,,
2010,Toyota,LAND CRUISER,1.8,,,
2010,Nissan,JUKE,1.8,,,
2010,Toyota,AURIS,2.1,,,
2010,Audi,A5,2.4,,,
2010,Toyota,COROLLA,2.4,,,
2010,Suzuki,ALTO,2.5,,,
2010,Mazda,3,2.6,,,
2010,Volvo,S60,2.7,,,
2010,Skoda,ROOMSTER,2.7,,,
2010,Audi,A1,2.8,,,
2010,Volkswagen,TIGUAN,2.9,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Taka-akselisto
2010,Volvo,XC60,2.9,,,
2010,Toyota,AVENSIS,2.9,,,
2010,Seat,EXEO,3.0,,,
2010,Toyota,AYGO,3.2,,,
2010,Honda,CR-V,3.2,Käyttöjarru,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
2010,Toyota,VERSO,3.2,Renkaat ja vanteet,Käyttöjarru,Seisontajarrun dynamometritesti
2010,Toyota,YARIS,3.3,,,
2010,Nissan,MICRA,3.3,,,
2010,Toyota,PRIUS,3.3,,,
2010,Toyota,URBAN CRUISER,3.4,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2010,Lexus,RX450H,3.5,,,
2010,Volvo,C30,3.5,,,
2010,Mitsubishi,MITSUBISHI ASX,3.5,,,
2010,Volvo,S80,3.7,,,
2010,Honda,ACCORD,3.7,,,
2010,Audi,A3,3.8,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus,Sisäinen valvontajärjestelmä (OBD)
2010,Volvo,V60,3.8,,,
2010,Skoda,OCTAVIA,3.8,,,
2010,Ford,FOCUS C-MAX,3.8,,,
2010,Audi,Q7,3.9,,,
2010,Honda,JAZZ,4.0,,,
2010,Audi,A6,4.0,Renkaat ja vanteet,Käyttöjarru,Etuakselisto
2010,Skoda,YETI,4.0,Jousitus ja iskunvaimennus,Käyttöjarru,Turvavyöt ja -varusteet
2010,Volvo,C70,4.0,,,
2010,Mitsubishi,LANCER,4.1,,,
2010,Skoda,FABIA,4.2,,,
2010,Opel,MERIVA,4.3,,,
2010,Ford,FUSION,4.4,,,
2010,Mazda,6,4.4,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
2010,Seat,LEON,4.5,,,
2010,Nissan,X-TRAIL,4.6,,,
2010,Seat,IBIZA,4.6,,,
2010,Mini,COOPER/ ONE,4.6,,,
2010,Volvo,V50,4.7,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Etuakselisto
2010,Volvo,S40,4.8,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
2010,Volkswagen,JETTA,4.9,Käyttöjarru,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
2010,BMW,X5,5.0,,,
2010,Volkswagen,POLO,5.0,Käyttöjarru,Jousitus ja iskunvaimennus,Renkaat ja vanteet
2010,Opel,INSIGNIA,5.0,Renkaat ja vanteet,Käyttöjarru,Jousitus ja iskunvaimennus
2010,Volkswagen,PASSAT,5.0,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarru
2010,Mercedes-Benz,C,5.0,Seisontajarrun dynamometritesti,Käyttöjarru,Jousitus ja iskunvaimennus
2010,Mazda,2,5.1,Ohjausnivelet ja -tangot,Etuakselisto,Renkaat ja vanteet
2010,Skoda,SUPERB,5.1,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarru
2010,Nissan,TIIDA,5.1,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
2010,Citroen,C1,5.2,Käyttöjarru,Renkaat ja vanteet,Valmistajan kilpi
2010,Honda,CIVIC,5.2,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2010,Volkswagen,SCIROCCO,5.3,,,
