,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
945,2008,Skoda,SUPERB,470,12.98,235000,225000,Jousitus ja iskunvaimennus,Käyttöjarru,Etuakselisto
946,2008,Smart,FORTWO,121,16.53,83000,77000,,,
947,2008,Subaru,FORESTER,438,21.0,181000,177000,Taka-akselisto,Käyttöjarru,Etuakselisto
948,2008,Subaru,IMPREZA,171,12.28,136000,136000,,,
949,2008,Subaru,LEGACY,506,16.8,214000,210000,Käyttöjarru,Etuakselisto,Jousitus ja iskunvaimennus
950,2008,Suzuki,GRAND VITARA,242,7.44,167000,163000,,,
951,2008,Suzuki,SWIFT,329,10.33,106000,97000,Etuakselisto,,
952,2008,Suzuki,SX4,363,13.77,124000,121000,Jousitus ja iskunvaimennus,Etuakselisto,Renkaat ja vanteet
953,2008,Toyota,AURIS,3460,7.54,139000,129000,Seisontajarrun dynamometritesti,Käyttöjarru,Käyttöjarrun dynamometritesti
954,2008,Toyota,AVENSIS,3707,10.63,192000,181000,Käyttöjarru,Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
955,2008,Toyota,AYGO,647,8.81,100000,93000,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,
956,2008,Toyota,COROLLA,3293,5.77,141000,133000,Käyttöjarru,Käyttöjarrun dynamometritesti,
957,2008,Toyota,COROLLA VERSO,1701,11.23,195000,186000,Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet,Käyttöjarru
958,2008,Toyota,HIACE,133,15.79,343000,347000,,,
959,2008,Toyota,LAND CRUISER,389,8.48,252000,234000,,,
960,2008,Toyota,PRIUS,783,8.17,161000,152000,Käyttöjarru,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
961,2008,Toyota,RAV4,939,13.21,184000,176000,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus,Käyttöjarru
962,2008,Toyota,YARIS,3300,12.24,122000,112000,Jousitus ja iskunvaimennus,Käyttöjarru,Käyttöjarrun dynamometritesti
963,2008,Volkswagen,CADDY,481,13.72,211000,198000,Jousitus ja iskunvaimennus,Käyttöjarru,Etuakselisto
964,2008,Volkswagen,CARAVELLE,132,15.91,188000,168000,Ohjausnivelet ja -tangot,,
965,2008,Volkswagen,GOLF,6874,12.12,176000,167000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus
