,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
99,2013,Opel,CORSA,4.36,Käyttöjarrun dynamometritesti,Jousitus ja iskunvaimennus,Valmistajan kilpi
100,2013,Kia,VENGA,4.4,,,
101,2013,Renault,CAPTUR,4.59,,,
102,2013,Jaguar,XF,4.72,Valmistajan kilpi,Taka-akselisto,Renkaat ja vanteet
103,2013,Renault,MEGANE,4.78,,,
104,2013,Dacia,DUSTER,4.86,Ohjausnivelet ja -tangot,Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
105,2013,Citroen,C5,4.93,,,
106,2013,Volvo,V40,5.02,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Valmistajan kilpi
107,2013,Ford,MONDEO,5.13,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Taka-akselisto
108,2013,Hyundai,I20,5.14,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Seisontajarrun dynamometritesti
109,2013,Chevrolet,AVEO,5.22,,,
110,2013,Fiat,500,5.35,,,
111,2013,"Volkswagen, VW",CARAVELLE,5.41,,,
112,2013,Volkswagen,SHARAN,5.516,Renkaat ja vanteet,Käyttöjarru,Suojarakenteet
113,2013,Ford,S-MAX,5.59,,,
114,2013,Skoda,CITIGO,5.69,,,
115,2013,Kia,OPTIMA,5.71,,,
116,2013,Fiat,PUNTO,5.71,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),Lähivalo
117,2013,Volkswagen,CADDY,5.727,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Taka-akselisto
118,2013,Mercedes-Benz,E,5.82,Käyttöjarru,Renkaat ja vanteet,Seisontajarrun dynamometritesti
119,2013,Seat,ALHAMBRA,5.94,,,
120,2013,Renault,CLIO,6.35,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
121,2013,Kia,SORENTO,6.43,,,
122,2013,Opel,MERIVA,6.48,,,
123,2013,Citroen,DS5,6.6,,,
124,2013,Citroen,C4 PICASSO,6.67,,,
125,2013,Chevrolet,MALIBU,6.9,,,
126,2013,Citroen,DS3,7.69,Sisäinen valvontajärjestelmä (OBD),Turvavyöt ja -varusteet,Käyttöjarrun dynamometritesti
127,2013,Hyundai,IX35,8.65,Ohjausnivelet ja -tangot,Etuakselisto,Seisontajarrun dynamometritesti
128,2013,Peugeot,3008,9.31,,,
129,2013,Hyundai,I40,9.52,Ohjausnivelet ja -tangot,Etuakselisto,Renkaat ja vanteet
130,2013,Dacia,SANDERO,10.05,Etuakselisto,Renkaat ja vanteet,Valmistajan kilpi
131,2013,Kia,SPORTAGE,10.27,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,Etuakselisto
132,2013,Volkswagen,KOMBI,12.65,Ohjausnivelet ja -tangot,Etuakselisto,Käyttöjarru
133,2013,Mercedes-Benz,V,22.88,Jousitus ja iskunvaimennus,Etuakselisto,Seisontajarrun dynamometritesti
134,2011,Audi,Q5,1.331,Käyttöjarru,Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD)
135,2011,Mazda,3,1.54,,,
136,2011,Audi,A5,1.55,,,
137,2011,Suzuki,ALTO,1.64,,,
138,2011,Toyota,LAND CRUISER,1.67,,,
139,2011,Toyota,COROLLA,1.72,,,
140,2011,Suzuki,SWIFT,1.83,,,
141,2011,BMW,X5,1.9,,,
142,2011,Lexus,CT200H,1.94,,,
143,2011,Toyota,AURIS,2.13,,,
144,2011,Audi,A6,2.15,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Käyttöjarru
145,2011,Audi,A7,2.23,,,
146,2011,Audi,Q7,2.34,,,
147,2011,Ford,FUSION,2.37,,,
148,2011,Volkswagen,TOUAREG,2.38,Käyttöjarru,Renkaat ja vanteet,
149,2011,Audi,A4,2.43,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD),Etuakselisto
150,2011,Peugeot,107,2.5,,,
151,2011,Toyota,VERSO-S,2.51,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
152,2011,Toyota,AVENSIS,2.8,,,
153,2011,Volvo,S40,2.82,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Lähivalo
154,2011,Volkswagen,TIGUAN,2.85,Jousitus ja iskunvaimennus,Etuakselisto,Renkaat ja vanteet
155,2011,Toyota,AYGO,3.17,,,
156,2011,Toyota,YARIS,3.21,,,
157,2011,Toyota,VERSO,3.229,Seisontajarrun dynamometritesti,Käyttöjarru,Renkaat ja vanteet
158,2011,Volvo,C70,3.25,,,
159,2011,Volvo,XC60,3.426,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
160,2011,Honda,ACCORD,3.51,Renkaat ja vanteet,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
161,2011,Audi,A1,3.55,,,
162,2011,Mitsubishi,ASX,3.69,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
163,2011,Toyota,PRIUS,3.69,,,
164,2011,Honda,CR-V,3.8,Käyttöjarru,Renkaat ja vanteet,Jousitus ja iskunvaimennus
165,2011,Nissan,X-TRAIL,3.81,,,
166,2011,Smart,FORTWO,3.96,,,
167,2011,Volvo,S60,4.03,Renkaat ja vanteet,Käyttöjarru,Etuakselisto
168,2011,Skoda,FABIA,4.04,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
169,2011,Mazda,2,4.08,,,
170,2011,Mini,COOPER/ ONE,4.1,,,
171,2011,Volkswagen,POLO,4.14,Käyttöjarru,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
172,2011,Ford,FOCUS,4.17,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarru
173,2011,Toyota,URBAN CRUISER,4.2,Käyttöjarru,Jousitus ja iskunvaimennus,Renkaat ja vanteet
174,2011,Citroen,C1,4.28,,,
175,2011,Opel,MERIVA,4.29,,,
176,2011,Honda,JAZZ,4.32,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Renkaat ja vanteet
177,2011,Skoda,YETI,4.41,Käyttöjarru,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
178,2011,Volvo,V60,4.43,Renkaat ja vanteet,Käyttöjarru,Etuakselisto
179,2011,Opel,INSIGNIA,4.496,Käyttöjarru,Renkaat ja vanteet,Dieselmoottorin pakokaasumittaus
180,2011,Mazda,6,4.58,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
181,2011,Seat,IBIZA,4.62,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
182,2011,Kia,PICANTO,4.63,,,
183,2011,Volkswagen,PASSAT,4.664,Renkaat ja vanteet,Etuakselisto,Jousitus ja iskunvaimennus
184,2011,Skoda,ROOMSTER,4.71,,,
185,2011,Suzuki,SX4,4.75,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarru
186,2011,Mitsubishi,LANCER,4.79,,,
187,2011,Honda,CIVIC,4.8,Sisäinen valvontajärjestelmä (OBD),Käyttöjarru,Jousitus ja iskunvaimennus
188,2011,Skoda,OCTAVIA,5.03,Käyttöjarru,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus
189,2011,Ford,FOCUS C-MAX,5.1,Käyttöjarru,Renkaat ja vanteet,Etuakselisto
190,2011,BMW,3,5.17,Etuakselisto,Taka-akselisto,Renkaat ja vanteet
191,2011,Nissan,JUKE,5.19,Etuakselisto,Käyttöjarru,Ohjausnivelet ja -tangot
192,2011,Volvo,V50,5.21,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Etuakselisto
193,2011,Seat,LEON,5.28,,,
194,2011,Porsche,CAYENNE,5.31,,,
195,2011,Kia,SOUL,5.31,,,
196,2011,Mercedes-Benz,C,5.37,Käyttöjarru,Seisontajarrun dynamometritesti,Renkaat ja vanteet
197,2011,Peugeot,508,5.51,Käyttöjarru,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
198,2011,Audi,A3,5.66,Renkaat ja vanteet,Bensiinimoottorin pakokaasumittaus,Käyttöjarrun dynamometritesti
199,2011,BMW,1,5.69,Taka-akselisto,Renkaat ja vanteet,Jousitus ja iskunvaimennus
200,2011,Mercedes-Benz,CLS,5.73,,,
201,2011,Opel,ASTRA,5.76,Käyttöjarru,Renkaat ja vanteet,Jousitus ja iskunvaimennus
202,2011,Skoda,SUPERB,5.77,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Turvavyöt ja -varusteet
203,2011,Nissan,MICRA,5.86,Etuakselisto,Käyttöjarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
204,2011,Volvo,C30,5.88,,,
205,2011,Mitsubishi,OUTLANDER,6.0,,,
206,2011,Alfa Romeo,GIULIETTA,6.08,,,
207,2011,Volvo,S80,6.17,,,
208,2011,BMW,X3,6.26,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,Käyttöjarru
209,2011,Nissan,QASHQAI,6.34,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru
210,2011,Hyundai,IX20,6.62,Jousitus ja iskunvaimennus,Käyttöjarru,Seisontajarrun dynamometritesti
